Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Amen Thompson,PG,23.0,HOU,75.0,2795.0,18.6,0.587,19.9,5.9,3.6,9.5,0.163,1.5,1.0,2.4,3.1,75.0,17.9,7.8,5.3,1.5,0.6,2.4,0.525,0.223,0.78,9690600.0,9.6906
Kevin Durant,SF,37.0,HOU,74.0,2690.0,21.0,0.638,27.1,6.8,3.0,9.9,0.176,4.2,0.1,4.3,4.2,74.0,25.8,5.4,4.7,0.8,0.9,3.2,0.518,0.409,0.877,54708609.0,54.708609
Desmond Bane,SG,27.0,ORL,77.0,2625.0,16.9,0.609,23.3,4.7,2.2,7.0,0.127,1.6,-0.4,1.2,2.1,77.0,20.4,4.2,4.2,1.0,0.4,2.0,0.485,0.391,0.92,36725670.0,36.72567
Mikal Bridges,SF,29.0,NYK,78.0,2596.0,15.2,0.584,17.4,4.5,3.2,7.7,0.142,1.2,1.3,2.6,3.0,78.0,14.7,3.9,3.8,1.3,0.8,1.1,0.487,0.371,0.832,24900000.0,24.9
Toumani Camara,PF,25.0,POR,78.0,2590.0,11.2,0.576,16.2,1.8,2.5,4.3,0.08,-1.1,0.0,-1.2,0.6,78.0,13.2,5.2,2.4,1.1,0.4,1.8,0.439,0.366,0.704,2221677.0,2.221677
Jamal Murray,PG,28.0,DEN,73.0,2579.0,22.0,0.621,28.0,7.6,1.7,9.3,0.173,5.5,-1.4,4.1,4.0,73.0,25.5,4.4,7.2,0.9,0.4,2.3,0.483,0.434,0.885,46394100.0,46.3941
Jabari Smith Jr.,PF,22.0,HOU,73.0,2561.0,13.5,0.567,18.1,3.1,3.1,6.2,0.117,-0.6,-0.1,-0.7,0.9,73.0,15.6,6.9,1.9,0.8,0.9,1.4,0.448,0.36,0.778,12350392.0,12.350392
Julius Randle,PF,31.0,MIN,77.0,2550.0,18.4,0.584,26.4,4.1,3.2,7.3,0.138,1.4,0.1,1.4,2.2,77.0,21.1,6.8,5.1,1.1,0.2,2.7,0.48,0.314,0.8,30864198.0,30.864198
Scottie Barnes,PF,24.0,TOR,75.0,2528.0,19.1,0.575,23.5,3.0,4.2,7.1,0.136,1.7,2.3,4.0,3.8,75.0,18.2,7.5,5.9,1.5,1.5,2.7,0.504,0.296,0.813,38661750.0,38.66175
Tyrese Maxey,PG,25.0,PHI,66.0,2523.0,22.2,0.59,29.5,5.8,2.5,8.4,0.159,5.1,0.5,5.6,4.8,66.0,28.6,4.2,6.7,1.9,0.8,2.4,0.463,0.37,0.89,37958760.0,37.95876
Derrick White,SG,31.0,BOS,73.0,2500.0,16.3,0.527,22.5,3.3,3.3,6.6,0.128,2.2,1.0,3.2,3.3,73.0,16.8,4.5,5.5,1.2,1.3,1.8,0.394,0.324,0.9,28100000.0,28.1
Nickeil Alexander-Walker,SG,27.0,ATL,75.0,2493.0,16.3,0.605,24.0,3.2,2.6,5.9,0.113,1.4,-0.5,0.9,1.8,68.0,20.6,3.5,3.7,1.3,0.5,2.1,0.454,0.394,0.9,15161800.0,15.1618
Jalen Brunson,PG,29.0,NYK,71.0,2482.0,19.9,0.579,30.2,6.2,2.1,8.4,0.162,3.9,-1.0,2.9,3.1,71.0,26.0,3.4,6.7,0.7,0.1,2.4,0.465,0.37,0.843,34944001.0,34.944001
VJ Edgecombe,SG,20.0,PHI,71.0,2472.0,13.9,0.543,20.1,1.8,2.2,4.1,0.079,-0.4,-0.2,-0.6,0.9,71.0,16.1,5.5,4.1,1.4,0.5,1.8,0.439,0.358,0.827,11108880.0,11.10888
Brandon Ingram,SF,28.0,TOR,72.0,2437.0,15.9,0.567,26.9,1.0,2.8,3.8,0.075,0.7,-0.6,0.1,1.3,72.0,21.4,5.6,3.6,0.8,0.7,2.5,0.472,0.377,0.82,38095238.0,38.095238
Jalen Johnson,SF,24.0,ATL,69.0,2432.0,20.8,0.584,27.0,3.8,3.8,7.5,0.148,3.1,1.4,4.5,4.0,69.0,22.8,10.3,8.0,1.3,0.4,3.4,0.493,0.351,0.784,30000000.0,30.0
Payton Pritchard,PG,28.0,BOS,75.0,2431.0,17.0,0.581,21.4,5.6,2.3,7.9,0.156,2.4,-0.4,2.1,2.5,50.0,17.0,4.0,5.1,0.7,0.1,1.4,0.461,0.372,0.886,7232143.0,7.232143
Kon Knueppel,SF,20.0,CHO,77.0,2424.0,17.7,0.644,22.2,5.8,2.3,8.1,0.161,3.6,-0.3,3.3,3.2,76.0,18.8,5.4,3.4,0.7,0.2,1.9,0.483,0.431,0.865,10015680.0,10.01568
Dyson Daniels,SG,22.0,ATL,73.0,2419.0,15.4,0.544,16.0,2.8,3.5,6.3,0.125,-0.6,1.8,1.1,1.9,73.0,11.8,6.7,5.9,2.0,0.4,1.8,0.519,0.182,0.623,7707709.0,7.707709
DeMar DeRozan,PF,36.0,SAC,76.0,2395.0,17.8,0.593,22.8,5.2,0.4,5.6,0.112,0.9,-1.0,-0.2,1.1,76.0,18.6,3.0,4.2,1.1,0.3,1.3,0.495,0.315,0.868,24570000.0,24.57
Donte DiVincenzo,SG,29.0,MIN,77.0,2379.0,12.6,0.57,16.8,2.2,2.9,5.2,0.105,0.0,0.9,0.9,1.7,77.0,12.3,4.2,3.9,1.3,0.4,1.5,0.408,0.381,0.758,11990000.0,11.99
James Harden,PG,36.0,2TM,67.0,2345.0,20.8,0.613,28.5,5.5,2.0,7.5,0.153,4.7,-0.8,3.9,3.5,67.0,23.6,4.9,8.1,1.1,0.4,3.5,0.436,0.374,0.881,39182693.0,39.182693
Trey Murphy III,SF,25.0,NOP,66.0,2341.0,18.4,0.613,22.9,4.5,1.6,6.1,0.124,3.0,-0.7,2.3,2.5,66.0,21.5,5.7,3.8,1.5,0.4,1.8,0.47,0.379,0.886,25000000.0,25.0
Jaylen Brown,SF,29.0,BOS,68.0,2336.0,22.3,0.572,36.3,3.6,3.2,6.8,0.14,3.7,-0.1,3.6,3.3,68.0,28.7,7.0,5.3,1.0,0.4,3.6,0.475,0.345,0.797,53142264.0,53.142264
Paolo Banchero,PF,23.0,ORL,67.0,2332.0,17.5,0.565,27.6,1.7,2.6,4.3,0.089,1.3,-0.2,1.1,1.8,67.0,22.2,8.3,5.1,0.6,0.6,3.0,0.457,0.312,0.775,15334769.0,15.334769
